Index,Invoke Time (s),Use Size (bytes),Total Size (bytes),Total Object,GC Time (ms)
1,0.054373926,1058320,2555280,63882,0.529
2,0.055504022,1145040,2555280,63882,0.149
3,0.059336131,1542880,3079440,76986,0.678
4,0.063104688,2055440,3669120,91728,0.9
5,0.06815091200000001,2748000,4520880,113022,1.487
6,0.07112067500000001,2944360,4586400,114660,0.275
7,0.081866169,4117080,6355440,158886,4.086
8,0.095253761,5601720,8386560,209664,3.972
9,0.111725342,7656520,11138400,278460,4.197
10,0.11962331400000001,8276080,11269440,281736,0.993
11,0.14984062,11536080,16380000,409500,6.205
12,0.179887408,15874040,22145760,553644,9.28
13,0.22426801700000001,21870560,30204720,755118,13.547
14,0.249098623,23639480,30663360,766584,2.723
15,0.34233032700000005,33462880,45798480,1144962,18.451
16,0.42849026600000006,45675720,61916400,1547910,26.537
17,0.47793733800000004,49657640,62768160,1569204,5.176
18,0.6547955860000001,65044520,86093280,2152332,42.786
19,0.853426725,88131440,118329120,2958228,66.137
20,0.96681099,95632280,119901600,2997540,10.768
21,1.305847266,118159080,151940880,3798522,59.862
22,1.410177899,125207680,153447840,3836196,10.422
23,1.774525854,147592040,185356080,4633902,51.059
24,1.9296012349999998,164823640,202194720,5054868,329.523
