Index,Invoke Time (s),Use Size (bytes),Total Size (bytes),Total Object,GC Time (ms)
1,0.05500268200000001,1057800,2555280,63882,0.582
2,0.056155336,1144400,2555280,63882,0.149
3,0.059305015,1424520,2882880,72072,0.501
4,0.061322888000000006,1689160,3144960,78624,0.461
5,0.063526702,1999360,3472560,86814,0.613
6,0.06556083500000001,2250120,3669120,91728,0.469
7,0.066507415,2328480,3669120,91728,0.162
8,0.071254785,2639360,4127760,103194,0.501
9,0.07385693300000001,3036560,4651920,116298,0.61
10,0.07746145400000001,3561200,5372640,134316,1.327
11,0.080476606,3715160,5438160,135954,0.345
12,0.08959931600000001,4314760,6224400,155610,0.871
13,0.094892157,5054360,7207200,180180,1.704
14,0.10194850000000001,5961760,8386560,209664,1.824
15,0.105506554,6238040,8452080,211302,0.486
16,0.119442435,7224880,9828000,245700,1.742
17,0.12805029099999998,8467240,11466000,286650,2.345
18,0.13896562099999998,10023800,13497120,337428,3.002
19,0.144950116,10480600,13628160,340704,0.772
20,0.16873124,12229720,16052400,401310,3.29
21,0.184567486,14392920,18935280,473382,4.611
22,0.204841337,17131880,22473360,561834,6.206
23,0.21639818,17959320,22669920,566748,1.443
24,0.25855905100000004,20931440,26863200,671580,6.061
25,0.28555148700000005,24698720,31908240,797706,8.26
26,0.32024811400000003,29425000,38001600,950040,10.792
27,0.339952813,30870280,38329200,958230,2.237
28,0.415657221,35990360,45536400,1138410,10.664
29,0.46322423000000007,42494160,54250560,1356264,14.519
30,0.523016286,50677960,64799280,1619982,19.048
31,0.544692092,50971520,64864800,1621620,2.295
32,0.685256579,60812440,77575680,1939392,25.411
33,0.781348817,72746040,92776320,2319408,29.581
34,0.8357471790000001,76571880,93628080,2340702,6.989
35,1.039008169,88240400,109942560,2748564,40.599
36,1.180355118,103991160,131302080,3282552,48.232
37,1.262629823,109275400,132350400,3308760,8.687
38,1.581542764,124540360,154496160,3862404,42.804
39,1.758734981,146562160,184569840,4614246,57.365
40,1.857967876,153816000,186076800,4651920,16.428
41,2.255854352,164823640,197411760,4935294,308.497
