Index,Invoke Time (s),Use Size (bytes),Total Size (bytes),Total Object,GC Time (ms)
1,0.057677607000000006,1057720,2555280,63882,0.573
2,0.058824327999999995,1144320,2555280,63882,0.219
3,0.063324487,1542880,3079440,76986,0.915
4,0.067214248,2055320,3669120,91728,0.941
5,0.071943069,2748080,4520880,113022,1.017
6,0.074174083,2944040,4586400,114660,0.49
7,0.08648035800000001,4116840,6355440,158886,2.224
8,0.097553651,5601680,8386560,209664,3.7
9,0.11472678,7656480,11138400,278460,6.246
10,0.125018517,8211360,11269440,281736,1.004
11,0.159365836,11652840,16511040,412776,6.279
12,0.190765434,16042320,22407840,560196,9.289
13,0.233924461,22100000,30532320,763308,12.838
14,0.258007397,23863600,30990960,774774,2.649
15,0.35243836300000003,33916800,46388160,1159704,19.427
16,0.4415056560000001,46154240,62571600,1564290,27.103
17,0.49187723800000005,50060840,63423360,1585584,6.293
18,0.6702451530000001,65591960,86682960,2167074,41.115
19,0.8502917430000001,88658920,118984320,2974608,60.423
20,0.9561504390000001,96088280,120622320,3015558,11.598
21,1.28879169,118727120,152465040,3811626,62.011
22,1.395960545,126049440,153906480,3847662,10.764
23,1.7503574490000002,147976280,186142320,4653558,60.333
24,1.908916762,164823640,201932640,5048316,283.881
